DATA,TMED,CHUVA
2023-05-28,17.254166666666666,28.5
2023-05-29,17.358333333333334,0.0
2023-05-30,17.7875,1.6
2023-05-31,18.883333333333336,0.0
2023-06-01,17.958333333333332,0.0
2023-06-02,17.816666666666666,0.0
2023-06-03,20.775000000000002,0.0
2023-06-04,19.670833333333334,0.0
2023-06-05,18.591666666666665,0.0
2023-06-06,20.129166666666666,0.0
2023-06-07,20.366666666666667,0.0
2023-06-08,18.616666666666664,0.0
2023-06-09,21.3625,0.0
2023-06-10,25.09583333333333,0.0
2023-06-11,18.391666666666666,12.2
2023-06-12,12.7875,24.4
2023-06-13,13.791666666666666,4.800000000000001
2023-06-14,15.799999999999999,37.5
2023-06-15,18.704166666666666,88.10000000000001
2023-06-16,19.116666666666664,0.3
2023-06-17,16.270833333333332,0.0
