rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,1021.0,998.31,-0.010178571428571426,29.6,15.1,21.40416666666667,20.8,13.2,17.129761904761907,5.2,77.7077380952381,95.0,48.0,216.875,17.7,1.4720238095238096
,1023.03,1008.81,-0.024047619047619043,34.3,17.5,22.798214285714284,24.1,13.6,19.14047619047619,18.0,80.48154761904762,94.0,53.0,173.98214285714286,29.0,3.532142857142857
,1024.38,1006.77,0.04488095238095238,26.5,12.8,19.374404761904763,19.2,11.1,15.745238095238093,192.5,80.9297619047619,97.0,46.0,111.17261904761905,33.8,1.2886904761904763
,1022.01,1007.45,-0.0568452380952381,27.8,14.7,20.20654761904762,20.9,12.6,16.42797619047619,15.799999999999999,79.7845238095238,96.0,48.0,175.5297619047619,17.7,0.6190476190476191
,1023.37,1001.69,0.05011904761904762,24.2,9.2,16.60654761904762,15.7,3.3,10.208333333333334,0.0,67.73869047619048,96.0,37.0,178.41071428571428,27.4,1.1892857142857143
,1023.03,1006.1,-0.06345238095238095,26.4,13.8,19.861309523809524,19.3,12.2,16.823214285714286,32.0,83.48511904761905,97.0,59.0,202.36904761904762,22.5,0.45952380952380956
,1025.06,1010.16,0.03728476821192053,22.1,11.5,15.576821192052979,17.0,7.9,12.258940397350992,40.8,81.23841059602648,96.0,58.0,138.41721854304635,20.9,1.3827814569536425
,1020.32,1011.51,0.021666666666666667,23.5,5.0,16.45654761904762,18.2,0.9,13.297023809523811,19.3,82.87440476190476,96.0,36.0,154.42857142857142,24.1,0.506547619047619
,1024.38,1002.71,-0.0020238095238095245,22.7,9.1,16.44345238095238,18.1,7.5,13.110119047619047,3.2,81.51309523809525,96.0,55.0,193.08928571428572,19.3,0.9654761904761904
,1025.06,1011.18,0.02964285714285715,23.7,13.8,17.701190476190476,19.4,10.1,14.897619047619049,44.9,84.30357142857143,96.0,55.0,170.8452380952381,20.9,0.9767857142857143
,1023.37,1008.47,-0.09472222222222222,23.0,11.8,17.665277777777778,15.9,10.2,14.211111111111112,0.0,80.99027777777778,95.0,59.0,212.01388888888889,24.1,1.2819444444444443
,1025.74,1013.55,-0.05652777777777778,25.2,15.5,19.354166666666668,18.2,13.7,16.0,0.0,81.68194444444445,95.0,59.0,164.13888888888889,19.3,3.3291666666666666
,1025.4,1003.73,0.05994047619047619,26.3,13.7,18.48333333333333,19.4,9.2,14.950595238095238,18.7,80.7702380952381,98.0,52.0,174.7202380952381,22.5,2.0892857142857144
,1026.08,1013.21,-0.036071428571428574,27.0,13.5,18.979166666666668,19.8,10.8,15.708333333333334,0.0,81.90535714285714,98.0,59.0,206.32142857142858,17.7,2.361904761904762
