rad,pmax,pmin,pmed,tmax,tmin,tmed,tomax,tomin,tomed,prec,urar,urmax,urmin,ventodir,rajada,ventovel
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,0.0,,,,,,
,1015.24,1013.21,0.061818181818181835,27.6,22.7,24.09090909090909,21.2,19.4,19.936363636363637,2.5,77.80909090909091,82.0,68.0,214.63636363636363,11.3,1.0545454545454545
,1014.9,1012.19,-0.05666666666666667,24.7,20.4,22.295833333333334,20.7,18.6,19.520833333333332,3.6,84.45833333333333,90.0,75.0,206.95833333333334,6.4,0.0375
,1013.55,1010.84,-0.014166666666666673,30.4,19.9,23.825,23.1,18.7,20.395833333333332,1.3,81.94583333333334,94.0,62.0,150.75,20.9,1.0833333333333333
,1014.22,1011.85,0.014166666666666659,29.0,21.3,24.0,22.7,19.9,20.966666666666665,13.499999999999998,83.82916666666667,93.0,67.0,143.70833333333334,14.5,0.5083333333333333
,1013.88,1009.14,-0.16375,24.9,21.7,23.09583333333333,22.4,20.4,21.229166666666668,6.0,89.39999999999999,94.0,84.0,208.29166666666666,12.9,0.4916666666666667
,1010.5,1006.43,-0.014166666666666668,26.0,21.6,23.075,22.3,20.2,21.108333333333334,7.3999999999999995,88.73333333333333,94.0,78.0,203.45833333333334,11.3,0.13749999999999998
,1012.53,1008.47,0.11333333333333334,29.9,20.4,23.7375,22.5,18.8,20.39166666666667,0.0,82.24166666666666,94.0,62.0,142.125,17.7,0.9041666666666667
,1016.26,1011.18,0.16375,25.8,15.5,21.1875,19.3,10.1,15.595833333333333,0.0,71.39583333333333,91.0,54.0,107.08333333333333,27.4,3.3083333333333336
,1017.61,1014.56,0.07291666666666667,27.9,13.9,19.2625,16.8,7.6,11.275,0.0,61.699999999999996,74.0,33.0,185.91666666666666,22.5,1.8333333333333333
,1019.98,1016.26,0.09916666666666668,26.3,15.1,19.858333333333334,17.0,12.1,14.041666666666666,0.0,69.8875,85.0,51.0,112.20833333333333,17.7,1.8499999999999999
,1021.0,1018.29,0.014166666666666668,24.8,16.4,19.912499999999998,18.2,13.1,15.4625,0.0,75.85833333333333,88.0,65.0,161.25,9.7,0.6916666666666668
,1021.0,1018.63,-0.07166666666666667,26.2,15.2,19.958333333333332,18.6,13.2,15.741666666666667,0.0,77.72500000000001,90.0,58.0,214.08333333333334,9.7,0.21666666666666667
