rad,p_estacao,p_mar,pmax,pmin,t_seco,tmax,tmin,t_orvalho,tomax,tomin,prec,urar,urmax,urmin,ventodir,rajada,ventovel
622.1482142857143,1014.402380952381,1015.102380952381,1018.6,1008.3,25.27857142857143,30.5,21.1,20.91488095238095,23.4,17.6,15.4,77.4702380952381,92.0,52.0,187.29166666666666,11.4,1.6327380952380952
662.5910714285715,1014.3839285714286,1015.1083333333333,1021.1,1008.8,22.752380952380953,28.0,17.1,16.952380952380953,22.8,10.3,12.0,71.1547619047619,92.0,36.0,205.88690476190476,12.2,1.5470238095238094
618.7065476190476,1017.8904761904762,1018.6351190476191,1023.3,1007.8,23.336904761904762,30.7,18.5,19.070238095238096,22.2,14.5,23.6,78.08928571428571,92.0,44.0,188.89880952380952,9.8,1.0857142857142859
565.625,1016.7285714285714,1017.4696428571428,1021.7,1008.9,22.564880952380953,27.4,17.5,17.08214285714286,21.6,12.4,1.2000000000000002,72.06547619047619,90.0,42.0,193.8154761904762,13.7,1.5625
569.027380952381,1016.95,1017.7172619047619,1021.4,1009.6,21.09107142857143,26.5,16.9,17.154761904761905,20.6,14.0,53.6,78.89285714285714,91.0,54.0,193.00595238095238,12.6,1.4166666666666667
683.9636904761904,1019.4732142857143,1020.2464285714285,1025.8,1012.5,20.30595238095238,27.0,14.7,14.678571428571429,19.4,6.8,1.4000000000000001,71.54761904761905,92.0,37.0,190.99404761904762,8.5,1.3434523809523808
489.7059523809524,1019.8738095238094,1020.6529761904762,1028.4,1012.4,19.395238095238096,28.0,11.7,14.983928571428573,20.6,7.3,33.6,76.67261904761905,92.0,39.0,200.35714285714286,11.4,1.456547619047619
440.26190476190476,1020.0726190476191,1020.8702380952382,1024.8,1014.9,17.722619047619048,24.1,10.4,14.054166666666665,18.5,6.9,35.6,80.07142857142857,93.0,39.0,202.64285714285714,11.1,1.0642857142857143
525.0392857142857,1013.7291666666666,1014.5005952380952,1019.4,1004.0,19.251190476190477,28.5,12.2,13.464880952380952,18.7,-1.5,22.0,71.95238095238095,91.0,17.0,220.22619047619048,12.1,1.2214285714285713
449.177380952381,1014.7416666666667,1015.5267857142857,1021.5,1002.8,16.520238095238096,25.2,8.9,11.0625,18.6,2.4,25.8,72.19642857142857,93.0,29.0,224.92857142857142,9.9,1.2660714285714285
