,Municipio,Populacao,macro,regional,lat,lon
24,PAULO LOPES,9326,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.96485520622319,-48.76016335634399
25,RANCHO QUEIMADO,3252,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.67393150233846,-49.089880502958856
26,SANTO AMARO DA IMPERATRIZ,28260,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.741766116501967,-48.79655035805106
27,SÃO BONIFÁCIO,2950,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.956554071439477,-48.93909777309912
28,SÃO JOSÉ,287409,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.57847109713233,-48.65625577254402
29,SÃO JOÃO BATISTA,32360,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.3289283421727,-48.859015927042506
30,SÃO PEDRO DE ALCÂNTARA,5693,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.591567381186135,-48.837130751483066
31,TIJUCAS,49474,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.247563296595885,-48.70088637061579
32,ÁGUAS MORNAS,6765,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.733480951801116,-48.936026935725984
33,ANCHIETA,5942,GRANDE OESTE,EXTREMO OESTE,-26.532948184400585,-53.33310864178267
34,BANDEIRANTE,3144,GRANDE OESTE,EXTREMO OESTE,-26.768595796097028,-53.64816794738197
35,BARRA BONITA,1608,GRANDE OESTE,EXTREMO OESTE,-26.66835784442113,-53.42505535504748
36,BELMONTE,2703,GRANDE OESTE,EXTREMO OESTE,-26.857082065884523,-53.61806004596434
37,BOM JESUS DO OESTE,2182,GRANDE OESTE,EXTREMO OESTE,-26.684020817771067,-53.095288071802216
38,DESCANSO,8559,GRANDE OESTE,EXTREMO OESTE,-26.858413595000638,-53.4793005223036
39,DIONÍSIO CERQUEIRA,14989,GRANDE OESTE,EXTREMO OESTE,-26.329842624688037,-53.533104817609406
40,FLOR DO SERTÃO,1784,GRANDE OESTE,EXTREMO OESTE,-26.76378082164953,-53.33734229657069
41,GUARACIABA,11154,GRANDE OESTE,EXTREMO OESTE,-26.580105565442395,-53.571076311226726
42,GUARUJÁ DO SUL,4819,GRANDE OESTE,EXTREMO OESTE,-26.39833636190546,-53.48402065827256
43,IPORÃ DO OESTE,9333,GRANDE OESTE,EXTREMO OESTE,-27.000431634442474,-53.489414418215965
44,IRACEMINHA,3987,GRANDE OESTE,EXTREMO OESTE,-26.845317195563474,-53.32445648581825
45,ITAPIRANGA,16503,GRANDE OESTE,EXTREMO OESTE,-27.112222405376688,-53.711674144548695
46,MARAVILHA,28045,GRANDE OESTE,EXTREMO OESTE,-26.759973577360107,-53.19811282877847
47,MODELO,4085,GRANDE OESTE,EXTREMO OESTE,-26.77477746640045,-53.05109629093748
48,MONDAÍ,9961,GRANDE OESTE,EXTREMO OESTE,-27.09929258522074,-53.44649707854179
49,PALMA SOLA,7601,GRANDE OESTE,EXTREMO OESTE,-26.37354381742908,-53.31452923662933
50,PARAÍSO,4437,GRANDE OESTE,EXTREMO OESTE,-26.662800366381106,-53.67830388048522
51,PRINCESA,2964,GRANDE OESTE,EXTREMO OESTE,-26.43294507449384,-53.61177569847364
52,ROMELÂNDIA,4826,GRANDE OESTE,EXTREMO OESTE,-26.648389532310617,-53.31712397583878
53,SALTINHO,3626,GRANDE OESTE,EXTREMO OESTE,-26.590521643011797,-53.02227852519562
54,SANTA HELENA,2427,GRANDE OESTE,EXTREMO OESTE,-26.92195558857574,-53.61965218468821
55,SANTA TEREZINHA DO PROGRESSO,2580,GRANDE OESTE,EXTREMO OESTE,-26.59274865073079,-53.16992504599359
