DATA,TMED,CHUVA
2023-10-05,19.15833333333333,0.0
2023-10-06,19.008333333333333,8.100000000000001
2023-10-07,20.428571428571427,99.8
2023-10-08,18.91363636363636,75.3
2023-10-09,20.495833333333334,0.3
2023-10-10,21.804166666666664,0.0
2023-10-11,22.9875,18.4
2023-10-12,17.400000000000002,56.89999999999999
2023-10-13,17.1375,0.0
2023-10-14,18.34166666666667,0.3
2023-10-15,19.72083333333333,4.7
2023-10-16,20.133333333333336,25.099999999999998
2023-10-17,23.21,0.3
2023-10-18,19.041666666666668,0.0
2023-10-19,18.816666666666666,0.0
2023-10-20,17.778571428571432,0.0
2023-10-21,21.8,0.0
2023-10-22,22.462500000000006,0.0
2023-10-23,23.466666666666665,0.0
2023-10-24,24.946666666666662,0.0
2023-10-25,22.991666666666664,0.0
2023-10-26,19.758333333333336,0.0
2023-10-27,20.15416666666667,1.3
2023-10-28,21.10833333333333,51.99999999999999
2023-10-29,25.620833333333337,15.6
2023-10-30,23.904166666666665,12.3
2023-10-31,21.354166666666668,2.8000000000000003
2023-11-01,20.019999999999996,0.3
2023-11-02,19.883333333333333,17.099999999999998
2023-11-03,20.895833333333332,51.7
2023-11-04,22.041666666666668,0.0
2023-11-05,21.883333333333336,0.0
2023-11-06,22.075,0.0
2023-11-07,23.2,0.0
2023-11-08,24.366666666666664,0.0
2023-11-09,22.045454545454547,0.0
2023-11-10,24.375,0.0
2023-11-11,24.520833333333332,5.6
2023-11-12,27.504166666666666,0.0
2023-11-13,25.2625,5.3999999999999995
2023-11-14,22.662500000000005,22.900000000000002
2023-11-15,23.976190476190474,4.4
2023-11-16,21.67142857142857,77.8
2023-11-17,21.758333333333336,63.5
2023-11-18,24.920833333333334,0.8
2023-11-19,23.287499999999998,0.0
2023-11-20,20.983333333333334,0.0
2023-11-21,26.645833333333332,0.0
2023-11-22,26.262500000000003,14.6
2023-11-23,23.587499999999995,0.3
2023-11-24,21.299999999999997,0.0
2023-11-25,23.17083333333333,0.0
2023-11-26,23.712499999999995,2.3
2023-11-27,22.716666666666665,12.2
2023-11-28,21.314285714285713,65.60000000000001
2023-11-29,23.433333333333337,5.9
2023-11-30,26.14166666666667,0.0
2023-12-01,25.25,0.0
2023-12-02,27.84166666666667,0.0
2023-12-03,26.6875,0.0
2023-12-04,26.2,4.4
2023-12-05,22.433333333333337,17.2
2023-12-06,26.608333333333334,4.1
2023-12-07,29.13333333333333,6.8999999999999995
2023-12-08,23.116666666666664,0.8
2023-12-09,21.6,0.3
2023-12-10,21.066666666666666,8.700000000000001
2023-12-11,23.0,7.699999999999999
2023-12-12,25.71666666666667,0.0
2023-12-13,26.895833333333332,0.0
2023-12-14,26.633333333333336,10.2
2023-12-15,28.423076923076923,0.0
2023-12-16,28.554166666666664,0.0
2023-12-17,28.981818181818184,0.0
2023-12-18,32.900000000000006,0.0
2023-12-19,29.36428571428571,0.0
2023-12-20,27.474999999999998,0.0
2023-12-21,27.929166666666664,0.3
2023-12-22,29.420833333333334,0.0
2023-12-23,27.649999999999995,15.5
2023-12-24,28.2375,0.0
2023-12-25,29.770833333333332,0.5
2023-12-26,26.370833333333337,0.0
2023-12-27,26.020833333333332,0.0
2023-12-28,27.379166666666663,0.0
2023-12-29,28.95416666666667,0.0
2023-12-30,25.733333333333334,0.0
2023-12-31,24.629166666666666,0.0
